S&atilde;o Paulo | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2021],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2019],
Adamantina,3500105,adamantinense,MARCIO CARDIM,411.987,35153,82.15,97.6,0.790,2.61,160718.67925,137083.66993,32400.51,
Adolfo,3500204,adolfino,IZAEL ANTONIO FERNANDES,211.055,3545,16.85,98.6,0.730,-,27333.74731,20103.87713,31265.58,
Agua&iacute;,3500303,aguaiano,JOS&Eacute; ALEXANDRE PEREIRA DE ARA&Uacute;JO,474.554,36981,67.72,95.8,0.715,10.44,84094.76006,72168.73408,28249.47,
&Aacute;guas da Prata,3500402,pratense,REGINA HELENA JANIZELO MORAES,142.673,8262,53.05,98.8,0.781,-,29390.24814,24363.40149,20835.97,
&Aacute;guas de Lind&oacute;ia,3500501,lindoiense,GILBERTO ABDOU HELOU,60.126,18908,287.16,96.2,0.745,4.02,86949.22213,75201.47793,28385.89,
&Aacute;guas de Santa B&aacute;rbara,3500550,santa-barbarense,AROLDO JOSE CAETANO,404.463,6142,13.83,98.2,0.757,13.89,34484.19534,28471.94804,28759.37,
&Aacute;guas de S&atilde;o Pedro,3500600,&aacute;gua-pedrense,JO&Atilde;O VICTOR BARBOZA,3.612,3588,488.89,98.4,0.854,-,25157.75668,22709.99284,42279.55,
Agudos,3500709,agudense,FERNANDO OCTAVIANI,966.708,37582,35.73,97.9,0.745,20.37,159980.62054,143417.68289,61650.21,
Alambari,3500758,alambariense,JO&Atilde;O PAULO DANTAS PINTO,159.600,6231,30.66,99.3,0.712,-,23710.99557,21839.01214,17145.55,
Alfredo Marcondes,3500808,marcondense,CELSO PIRANI PASSOS,118.915,4201,32.86,98.6,0.741,25,16478.9668,15111.97897,20861.37,
Altair,3500907,altairense,MARCO ANTONIO FERREIRA,313.007,4211,12.16,96,0.687,-,22318.94651,19410.76045,21796.89,
Altin&oacute;polis,3501004,altinopolense,JOS&Eacute; ROBERTO FERRACIN MARQUES,928.956,16221,16.80,99.3,0.730,18.29,72144.19151,55436.05472,33073.73,
Alto Alegre,3501103,alto-alegrense,CARLOS SUSSUMI IVAMA,318.574,4078,12.86,95.1,0.700,27.03,20846.4169,18236.22271,29423.18,
Alum&iacute;nio,3501152,aluminense,ANTONIO PIASSENTINI,83.619,18903,201.28,98.8,0.766,14.93,75397.42207,72572.58372,115258.20,
&Aacute;lvares Florence,3501202,alvares florencense,ADILSON BATISTA LEITE,362.411,3616,10.74,99.3,0.728,-,20470.81479,18241.10731,27525.23,
&Aacute;lvares Machado,3501301,machadense,ROGER FERNANDES GASQUES,347.647,25078,67.69,98.3,0.758,9.4,62881.3731,60296.9844,20521.18,
&Aacute;lvaro de Carvalho,3501400,carvalhense,ADILSON DE OLIVEIRA LOPES,153.662,5320,30.36,99.2,0.688,-,17943.08204,16441.13972,9698.65,
Alvinl&acirc;ndia,3501509,alvinlandense,ABIGAIL CATELI DIAS,84.879,3251,35.38,99.3,0.722,-,15306.4017,12940.54398,15723.04,
