ano,estado,familia,denominacao,quantidade
1995,PARANÁ,50,00,237,00
1995,RIO DE JANEIRO,50,00,3,00
1995,RIO DE JANEIRO,100,00,1,00
1995,SÃO PAULO,100,00,1,00
1996,DISTRITO FEDERAL,50,00,1,00
1996,DISTRITO FEDERAL,100,00,1,00
1996,MINAS GERAIS,50,00,4,00
1996,MINAS GERAIS,100,00,1,00
1996,PARANÁ,50,00,4,00
1996,PARANÁ,100,00,12,00
1996,PERNAMBUCO,50,00,2,00
1996,PERNAMBUCO,100,00,1,00
1996,RIO DE JANEIRO,5,00,2,00
1996,RIO DE JANEIRO,10,00,6.087,00
1996,RIO DE JANEIRO,50,00,7.988,00
1996,RIO DE JANEIRO,100,00,2.311,00
1996,RIO GRANDE DO SUL,10,00,1,00
1996,RIO GRANDE DO SUL,50,00,2,00
1996,RIO GRANDE DO SUL,100,00,2,00
1996,RONDÔNIA,100,00,2,00
1997,AMAPÁ,100,00,1,00
1997,BAHIA,5,00,2,00
1997,BAHIA,10,00,49,00
1997,BAHIA,50,00,14,00
1997,BAHIA,100,00,27,00
1997,CEARÁ,10,00,20,00
1997,CEARÁ,50,00,28,00
1997,CEARÁ,100,00,1,00
1997,DISTRITO FEDERAL,10,00,19,00
1997,DISTRITO FEDERAL,50,00,22,00
1997,DISTRITO FEDERAL,100,00,12,00
1997,GOIÁS,10,00,4,00
1997,GOIÁS,50,00,1,00
1997,MATO GROSSO DO SUL,50,00,8,00
1997,MINAS GERAIS,50,00,35,00
1997,MINAS GERAIS,100,00,58,00
1997,PARANÁ,50,00,4,00
1997,PARANÁ,100,00,1,00
1997,PERNAMBUCO,50,00,8,00
1997,PERNAMBUCO,100,00,4,00
1997,RIO DE JANEIRO,5,00,180,00
1997,RIO DE JANEIRO,10,00,16,00
1997,RIO DE JANEIRO,50,00,33,00
1997,RIO DE JANEIRO,100,00,73,00
1997,RIO GRANDE DO SUL,100,00,1,00
1997,RONDÔNIA,100,00,1,00
1997,SÃO PAULO,50,00,1,00
1997,TOCANTINS,100,00,1,00
1998,AMAPÁ,50,00,79,00
1998,AMAZONAS,5,00,13,00
1998,AMAZONAS,10,00,1,00
1998,AMAZONAS,50,00,364,00
1998,AMAZONAS,100,00,3,00
1998,CEARÁ,5,00,5,00
1998,CEARÁ,10,00,26,00
1998,CEARÁ,50,00,69,00
