Ano;Estado;Denominacao;Quantidade
2015;ACRE;2;1
2015;ACRE;5;1
2015;ACRE;10;4
2015;ACRE;10;4
2015;ACRE;20;6
2015;ACRE;20;45
2015;ACRE;50;35
2015;ACRE;50;43
2015;ACRE;100;203
2015;ACRE;100;114
2015;ALAGOAS;2;1
2015;ALAGOAS;5;34
2015;ALAGOAS;5;16
2015;ALAGOAS;10;30
2015;ALAGOAS;10;66
2015;ALAGOAS;20;91
2015;ALAGOAS;20;350
2015;ALAGOAS;50;127
2015;ALAGOAS;50;282
2015;ALAGOAS;100;143
2015;ALAGOAS;100;1.974,00
2015;AMAPÁ;2;2
2015;AMAPÁ;2;2
2015;AMAPÁ;5;2
2015;AMAPÁ;5;3
2015;AMAPÁ;10;3
2015;AMAPÁ;20;78
2015;AMAPÁ;50;12
2015;AMAPÁ;50;206
2015;AMAPÁ;100;9
2015;AMAPÁ;100;392
2015;AMAZONAS;2;2
2015;AMAZONAS;2;1
2015;AMAZONAS;5;8
2015;AMAZONAS;5;28
2015;AMAZONAS;10;9
2015;AMAZONAS;10;23
2015;AMAZONAS;20;15
2015;AMAZONAS;20;505
2015;AMAZONAS;50;512
2015;AMAZONAS;50;238
2015;AMAZONAS;100;1.473,00
2015;AMAZONAS;100;454
2015;BAHIA;2;20
2015;BAHIA;2;11
2015;BAHIA;5;114
2015;BAHIA;5;176
2015;BAHIA;10;6
2015;BAHIA;10;226
2015;BAHIA;10;537
2015;BAHIA;20;477
2015;BAHIA;20;3.367,00
2015;BAHIA;50;2.908,00
2015;BAHIA;50;3.247,00
2015;BAHIA;100;2.274,00
2015;BAHIA;100;7.136,00
2015;CEARÁ;2;3
2015;CEARÁ;2;2
2015;CEARÁ;5;6
2015;CEARÁ;5;43
2015;CEARÁ;10;60
2015;CEARÁ;10;56
2015;CEARÁ;20;166
2015;CEARÁ;20;899
2015;CEARÁ;50;668
2015;CEARÁ;50;1.310,00
2015;CEARÁ;100;1.304,00
2015;CEARÁ;100;3.939,00
2015;DISTRITO FEDERAL;2;18
2015;DISTRITO FEDERAL;2;8
2015;DISTRITO FEDERAL;5;56
2015;DISTRITO FEDERAL;5;54
2015;DISTRITO FEDERAL;10;66
2015;DISTRITO FEDERAL;10;74
2015;DISTRITO FEDERAL;20;438
2015;DISTRITO FEDERAL;20;473
2015;DISTRITO FEDERAL;50;892
2015;DISTRITO FEDERAL;50;288
2015;DISTRITO FEDERAL;100;782
2015;DISTRITO FEDERAL;100;5.656,00
2015;ESPÍRITO SANTO;2;18
2015;ESPÍRITO SANTO;2;1
2015;ESPÍRITO SANTO;5;34
2015;ESPÍRITO SANTO;5;12
2015;ESPÍRITO SANTO;10;83
2015;ESPÍRITO SANTO;10;43
2015;ESPÍRITO SANTO;20;189
2015;ESPÍRITO SANTO;20;1.075,00
2015;ESPÍRITO SANTO;50;874
2015;ESPÍRITO SANTO;50;616
2015;ESPÍRITO SANTO;100;1.596,00
2015;ESPÍRITO SANTO;100;1.791,00
2015;GOIÁS;2;21
2015;GOIÁS;2;7
2015;GOIÁS;5;117
2015;GOIÁS;5;133
2015;GOIÁS;10;145
2015;GOIÁS;10;60
2015;GOIÁS;20;980;
