"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Mar/22";"Fev/22";"Jan/22";"Competência";"Data de atualização"
"ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150)";"Médico Hospitalar";"Pequeno";"160";"186";"   0,76";"   1,53";"   0,76";"202201";"19/02/2022 09:24:50"
"UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (323055)";"Médico Hospitalar";"Pequeno";"118";"154";"   1,64";"   1,64";"   1,64";"202201";"19/02/2022 09:24:50"
"UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO (361941)";"Médico Hospitalar";"Pequeno";"87";"112";"   2,68";"   3,23";"   3,23";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO (316458)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO (420123)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   3,93";"   3,93";"202201";"19/02/2022 09:24:50"
"UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA (311057)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   3,09";"   3,09";"202201";"19/02/2022 09:24:50"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO (420930)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ARCELORMITTAL BRASIL S/A (416070)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO (323942)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL (421618)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO (367613)";"Médico Hospitalar";"Pequeno";"139";"151";"   1,25";"   1,26";"   1,25";"202201";"19/02/2022 09:24:50"
"POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA (316903)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI (321320)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"RIO DOCE SAÚDE (421359)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"KIPP SAÚDE LTDA. (422614)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ODONTO MAIS SAUDE EMPREENDIMENTOS LTDA. (422622)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA (345091)";"Médico Hospitalar";"Médio";"181";"187";"   0,46";"   0,92";"   0,93";"202201";"19/02/2022 09:24:50"
"PRONTOMED PLANOS DE SAÚDE LTDA (301728)";"Médico Hospitalar";"Médio";"126";"153";"   1,09";"   1,25";"   1,54";"202201";"19/02/2022 09:24:50"
"UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO (358088)";"Médico Hospitalar";"Médio";"148";"156";"   0,87";"   1,51";"   1,30";"202201";"19/02/2022 09:24:50"
"PRO SALUTE SERVIÇOS PARA A SAÚDE LTDA. (369373)";"Médico Hospitalar";"Médio";"193";"203";"   0,35";"   0,71";"   1,80";"202201";"19/02/2022 09:24:50"
"UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO (311847)";"Médico Hospitalar";"Médio";"136";"178";"   0,99";"   0,99";"   1,12";"202201";"19/02/2022 09:24:50"
"UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO (304883)";"Médico Hospitalar";"Médio";"201";"206";"   0,25";"   0,52";"   0,77";"202201";"19/02/2022 09:24:50"
"INSTITUTO CURITIBA DE SAÚDE (419010)";"Médico Hospitalar";"Médio";"167";"189";"   0,66";"   0,92";"   0,92";"202201";"19/02/2022 09:24:50"
"UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA (333662)";"Médico Hospitalar";"Médio";"91";"124";"   2,09";"   2,09";"   2,09";"202201";"19/02/2022 09:24:50"
"UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO (301574)";"Médico Hospitalar";"Médio";"154";"162";"   0,84";"   1,27";"   1,29";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556)";"Médico Hospitalar";"Médio";"168";"180";"   0,64";"   1,13";"   1,29";"202201";"19/02/2022 09:24:50"
"SERMED-SAÚDE LTDA. (303739)";"Médico Hospitalar";"Médio";"165";"211";"   0,68";"   1,02";"   1,36";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584)";"Médico Hospitalar";"Médio";"206";"221";"0,00";"0,00";"   0,46";"202201";"19/02/2022 09:24:50"
"UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (311715)";"Médico Hospitalar";"Médio";"198";"204";"   0,28";"   0,55";"   0,56";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568)";"Médico Hospitalar";"Médio";"205";"220";"   0,14";"   0,14";"   0,14";"202201";"19/02/2022 09:24:50"
"UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (325031)";"Médico Hospitalar";"Médio";"206";"211";"0,00";"   0,48";"   0,48";"202201";"19/02/2022 09:24:50"
"PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA. (413267)";"Médico Hospitalar";"Pequeno";"3";"186";" 103,63";" 154,64";" 103,63";"202201";"19/02/2022 09:24:50"
"HALSA OPERADORA DE MEDICINA DE GRUPO LTDA (419834)";"Médico Hospitalar";"Pequeno";"16";"186";"  29,33";"  58,65";"  43,99";"202201";"19/02/2022 09:24:50"
"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA. (318477)";"Médico Hospitalar";"Pequeno";"27";"31";"  16,01";"  20,23";"  19,22";"202201";"19/02/2022 09:24:50"
"ÚNICA ASSISTENCIA MEDICA LTDA  (421944)";"Médico Hospitalar";"Pequeno";"20";"24";"  23,86";"  26,24";"  27,43";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548)";"Médico Hospitalar";"Pequeno";"35";"39";"  11,86";"  12,68";"  12,59";"202201";"19/02/2022 09:24:50"
"OMINT SERVIÇOS DE SAÚDE LTDA. (359661)";"Médico Hospitalar";"Grande";"64";"67";"   2,14";"   2,64";"   2,72";"202201";"19/02/2022 09:24:50"
"UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO (343889)";"Médico Hospitalar";"Grande";"61";"60";"   2,23";"   2,61";"   2,91";"202201";"19/02/2022 09:24:50"
"SAMEL PLANO DE SAÚDE LTDA (367095)";"Médico Hospitalar";"Grande";"74";"84";"   1,29";"   1,92";"   2,46";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL (413534)";"Médico Hospitalar";"Grande";"72";"77";"   1,32";"   1,37";"   1,46";"202201";"19/02/2022 09:24:50"
"UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA. (325571)";"Médico Hospitalar";"Grande";"83";"85";"   0,49";"   0,63";"   0,63";"202201";"19/02/2022 09:24:50"
"BRF S/A (417238)";"Médico Hospitalar";"Grande";"86";"88";"   0,28";"   0,28";"   0,28";"202201";"19/02/2022 09:24:50"
"SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA. (421154)";"Médico Hospitalar";"Médio";"5";"5";"  23,42";"  31,19";"  28,16";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021)";"Médico Hospitalar";"Médio";"14";"19";"  11,33";"  13,35";"  15,50";"202201";"19/02/2022 09:24:50"
"GARANTIA DE SAÚDE LTDA (343064)";"Médico Hospitalar";"Médio";"18";"19";"  10,83";"  15,28";"  13,72";"202201";"19/02/2022 09:24:50"
"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331)";"Médico Hospitalar";"Médio";"21";"49";"   9,88";"  11,70";"  12,07";"202201";"19/02/2022 09:24:50"
"CABERJ INTEGRAL SAÚDE S.A (415774)";"Médico Hospitalar";"Médio";"35";"40";"   6,86";"  11,22";"  14,33";"202201";"19/02/2022 09:24:50"
