"data";"valor"
"04/06/1986";"1,00062114"
"05/06/1986";"1,00064364"
"06/06/1986";"1,00063737"
"09/06/1986";"1,00065176"
"10/06/1986";"1,00064024"
"11/06/1986";"1,00063737"
"12/06/1986";"1,00063579"
"13/06/1986";"1,00063187"
"16/06/1986";"1,00063501"
"17/06/1986";"1,00063266"
"18/06/1986";"1,00063317"
"19/06/1986";"1,00063187"
"20/06/1986";"1,00063083"
"23/06/1986";"1,00063135"
"24/06/1986";"1,00063056"
"25/06/1986";"1,00063501"
"26/06/1986";"1,00063423"
"27/06/1986";"1,00063317"
"30/06/1986";"1,00063606"
"01/07/1986";"1,00063632"
"02/07/1986";"1,00065227"
"03/07/1986";"1,00070644"
"04/07/1986";"1,00079435"
"07/07/1986";"1,00079566"
"08/07/1986";"1,00079409"
"09/07/1986";"1,00080613"
"10/07/1986";"1,00081267"
"11/07/1986";"1,00081319"
"14/07/1986";"1,00081345"
"15/07/1986";"1,00080952"
"16/07/1986";"1,00081031"
"17/07/1986";"1,00081031"
"18/07/1986";"1,00081188"
"21/07/1986";"1,00081214"
"22/07/1986";"1,00081423"
"23/07/1986";"1,00083935"
"24/07/1986";"1,00084197"
"25/07/1986";"1,00084458"
"28/07/1986";"1,00084851"
"29/07/1986";"1,00084851"
"30/07/1986";"1,00084799"
"31/07/1986";"1,00084851"
"01/08/1986";"1,00084982"
"04/08/1986";"1,00085296"
"05/08/1986";"1,00085636"
"06/08/1986";"1,00086159"
"07/08/1986";"1,00089430"
"08/08/1986";"1,00105390"
"11/08/1986";"1,00121900"
"12/08/1986";"1,00120879"
"13/08/1986";"1,00123496"
"14/08/1986";"1,00123757"
"15/08/1986";"1,00126138"
"18/08/1986";"1,00126950"
"19/08/1986";"1,00126558"
"20/08/1986";"1,00126347"
"21/08/1986";"1,00126923"
"22/08/1986";"1,00127132"
"25/08/1986";"1,00127054"
"26/08/1986";"1,00127028"
"27/08/1986";"1,00127080"
"28/08/1986";"1,00127002"
"29/08/1986";"1,00127263"
"01/09/1986";"1,00125066"
"02/09/1986";"1,00125275"
"03/09/1986";"1,00125642"
"04/09/1986";"1,00125353"
"05/09/1986";"1,00125432"
"08/09/1986";"1,00125249"
"09/09/1986";"1,00125511"
"10/09/1986";"1,00125406"
"11/09/1986";"1,00125406"
"12/09/1986";"1,00125406"
"15/09/1986";"1,00125406"
"16/09/1986";"1,00125406"
"17/09/1986";"1,00126034"
"18/09/1986";"1,00126165"
"19/09/1986";"1,00126400"
"22/09/1986";"1,00126609"
"23/09/1986";"1,00126923"
"24/09/1986";"1,00126583"
"25/09/1986";"1,00126792"
"26/09/1986";"1,00126714"
"29/09/1986";"1,00126923"
"30/09/1986";"1,00127002"
"01/10/1986";"1,00063684"
"02/10/1986";"1,00068707"
"03/10/1986";"1,00073312"
"06/10/1986";"1,00079618"
"07/10/1986";"1,00080063"
"08/10/1986";"1,00080613"
"09/10/1986";"1,00082183"
"10/10/1986";"1,00082470"
"13/10/1986";"1,00082235"
"14/10/1986";"1,00082235"
"15/10/1986";"1,00082417"
"16/10/1986";"1,00082601"
"17/10/1986";"1,00082313"
"20/10/1986";"1,00082523"
"21/10/1986";"1,00082470"
"22/10/1986";"1,00082470"
"23/10/1986";"1,00082417"
"24/10/1986";"1,00082417"
"27/10/1986";"1,00082470"
"28/10/1986";"1,00082548"
"29/10/1986";"1,00082497"
"30/10/1986";"1,00082601"
"31/10/1986";"1,00086003"
"03/11/1986";"1,00107614"
"04/11/1986";"1,00109864"
"05/11/1986";"1,00109942"
"06/11/1986";"1,00109864"
"07/11/1986";"1,00109419"
"10/11/1986";"1,00108347"
